,ssvid,score,detect_id,scene_id,gfw_length,sar_length,is_fishing,likelihood_in,region,within_footprint_5km,match_review
0,,0.0,6b572cc4-7738-413b-ab1b-f243268547a4,RS2_20191126_151156_0074_DVWF_HH_SCS_774921_0579_31462938,,22.03,False,,indian,,
1,,0.0,2be2cf3d-e386-439a-9bca-c51d92660f19,RS2_20200106_151610_0074_DVWF_HH_SCS_785528_1146_32185412,,88.37,False,,indian,,
2,,0.0,55a6deff-dbce-4834-877c-329088fb58db,RS2_20200106_151610_0074_DVWF_HH_SCS_785528_1146_32185412,,25.16,False,,indian,,
3,,0.0,f73edcc0-404a-4909-a2d1-12f6e01ddaae,RS2_20191126_151156_0074_DVWF_HH_SCS_774921_0579_31462938,,17.07,False,,indian,,
4,,0.0,cc6ba72e-bdab-468d-8a21-bc90216884b3,RS2_20191006_145935_0074_DVWF_HH_SCS_762256_9950_30803268,,48.28,False,,indian,,
5,,0.0,92ad4354-df07-456e-9f79-91442ea218ee,RS2_20191214_144658_0074_DVWF_HH_SCS_779556_0833_31736546,,59.32,False,,indian,,
6,,0.0,b92d0b35-781f-4bd2-b742-0de5520b46e4,RS2_20191006_145935_0074_DVWF_HH_SCS_762256_9950_30803268,,70.12,False,,indian,,
7,,0.0,b7333228-936e-4735-af06-288586fe9311,RS2_20191224_145513_0074_DVWF_HH_SCS_782169_0971_31947269,,65.28,False,,indian,,
8,,0.0,fca5f480-22dd-4cdf-911f-f222f409d49a,RS2_20191224_145513_0074_DVWF_HH_SCS_782169_0971_31947269,,63.18,False,,indian,,
9,,0.0,0ec3c7c3-58a0-48a5-8b46-00b890762280,RS2_20191111_014030_0074_DVWF_HH_SCS_771172_0360_31261402,,61.31,False,,indian,,
10,,0.0,1ad45743-3025-40f1-a4ad-06e9732030e0,RS2_20200107_144650_0074_DVWF_HH_SCS_785751_1158_32185414,,88.18,False,,indian,,
11,,0.0,fe6c452e-0daf-42fa-8b47-57cd9c1cd25a,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334,,65.31,False,,indian,,
12,,0.0,155cb1af-dec6-4527-a416-d5293684f9e9,RS2_20200107_144650_0074_DVWF_HH_SCS_785751_1158_32185414,,74.56,False,,indian,,
13,,0.0,88c9d273-b263-4fed-a450-74b62dc8179d,RS2_20191214_144658_0074_DVWF_HH_SCS_779556_0833_31736546,,125.51,False,,indian,,
14,,0.0,f48ec5cd-3846-4b71-93e9-b0abb921970a,RS2_20191214_144658_0074_DVWF_HH_SCS_779556_0833_31736546,,89.75,False,,indian,,
15,,0.0,bef3fdab-42b3-4205-86e9-cb484a4d18e2,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334,,43.1,False,,indian,,
16,,0.0,019b8022-dae5-42c2-b0de-597b10f7d298,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334,,34.43,False,,indian,,
17,,0.0,b69ac87d-579f-4f15-be35-51ebf5aa6a32,RS2_20191214_144658_0074_DVWF_HH_SCS_779556_0833_31736546,,72.95,False,,indian,,
18,,0.0,3ec1cc8f-d2ca-46db-acae-500f17301030,RS2_20191214_144658_0074_DVWF_HH_SCS_779556_0833_31736546,,59.33,False,,indian,,
19,,0.0,c212177f-891b-4d7d-9059-415327fc9e55,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334,,27.4,False,,indian,,
20,,0.0,dd27c548-d87f-4aad-ba9c-767e43d4242f,RS2_20191006_145935_0074_DVWF_HH_SCS_762256_9950_30803268,,41.56,False,,indian,,
21,,0.0,06b554fc-72dc-4dc2-8c00-377e9fd18155,RS2_20191028_014848_0074_DVWF_HH_SCS_767720_0207_31056964,,37.53,False,,indian,,
22,,0.0,b909d7b9-e002-4e97-a995-317cbed8a5a9,RS2_20191028_014848_0074_DVWF_HH_SCS_767720_0207_31056964,,42.86,False,,indian,,
23,,0.0,06827fad-ccbe-4ad5-bf09-bd2aecbce735,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334,,47.43,False,,indian,,
24,,0.0,9f8359c1-7c42-4505-b44b-d27c78c3889f,RS2_20191225_015703_0074_DVWF_HH_SCS_782308_0979_31959696,,200.21,False,,indian,,
25,,0.0,14889d4f-de2f-4623-9eb1-52488efd70ad,RS2_20191006_145935_0074_DVWF_HH_SCS_762256_9950_30803268,,27.17,False,,indian,,
26,,0.0,f679b85a-4520-4c88-9e3c-6018a1b09052,RS2_20191006_145935_0074_DVWF_HH_SCS_762256_9950_30803268,,35.57,False,,indian,,
27,,0.0,dc2178f9-3e1e-4a1f-98ca-cd14ba8ffcec,RS2_20191006_145935_0074_DVWF_HH_SCS_762256_9950_30803268,,23.86,False,,indian,,
28,,0.0,3143508d-a116-482f-9d3a-96e5ab6fb4fb,RS2_20191214_144658_0074_DVWF_HH_SCS_779556_0833_31736546,,131.6,False,,indian,,
29,,0.0,86c62985-f94d-4af2-a5dc-f8847a0b3e93,RS2_20191214_144658_0074_DVWF_HH_SCS_779556_0833_31736546,,69.39,False,,indian,,
30,,0.0,2e7cbe36-570c-4445-a177-93a813a9c25d,RS2_20191225_015703_0074_DVWF_HH_SCS_782308_0979_31959696,,40.67,False,,indian,,
31,,0.0,3237465f-e222-4e7a-992a-e95f1fba8b15,RS2_20191126_151156_0074_DVWF_HH_SCS_774921_0579_31462938,,48.95,False,,indian,,
32,,0.0,a0eafa7d-1dfa-4ca0-ad08-805b02e6b5ec,RS2_20191126_151156_0074_DVWF_HH_SCS_774921_0579_31462938,,37.82,False,,indian,,
33,,0.0,ab3d1c2c-78a9-4007-9ea9-f6bcb2f4a6a6,RS2_20191006_145935_0074_DVWF_HH_SCS_762256_9950_30803268,,20.87,False,,indian,,
34,,0.0,0938bd24-7160-43d7-8ed7-d614e4600c78,RS2_20200107_144650_0074_DVWF_HH_SCS_785751_1158_32185414,,68.18,False,,indian,,
35,,0.0,68bbd799-f8c9-4f7d-b0c1-bded33efe440,RS2_20191021_015301_0074_DVWF_HH_SCS_765981_0126_30985398,,29.19,False,,indian,,
