X,Y,Name,description,Probability,DetectionId,ProductStartTime,ProductStopTime,Polarization,Beam,Length,Property,Type,Heading,ProductId
53.344378,-9.025791,FID: 1,,100.00,fe6c452e-0daf-42fa-8b47-57cd9c1cd25a,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,13.04,65.31, Value ,VESSEL,358.01,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
53.663804,-9.869488,FID: 2,,100.00,8f5fa4b2-6fed-484d-ac5b-3abb270851e7,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,13.02,35.57, Value ,VESSEL,351.31,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
53.449912,-10.171702,FID: 3,,100.00,a831119d-c8ce-4a33-bc15-2adda82b3fa6,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,5.85,17.31, Value ,VESSEL,243.18,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
53.596573,-10.348734,FID: 4,,100.00,3b746a11-aec0-4a52-819e-d717c719189a,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,22.57,125.95, Value ,VESSEL,168.78,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
53.316763,-11.229717,FID: 5,,100.00,7a253d87-ed10-4f12-8225-2da8c031a16c,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,11.81,60.27, Value ,VESSEL,165.32,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
52.831689,-11.215549,FID: 6,,100.00,1919dee6-0ad6-4f41-9bb7-6a0f48271688,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,16.36,49.49, Value ,VESSEL,221.63,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
52.712741,-10.575516,FID: 7,,100.00,18de0384-c899-4b16-8bb1-824f048cf7cf,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,25.39,182.04, Value ,VESSEL,347.85,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
54.407304,-12.39804,FID: 9,,100.00,06827fad-ccbe-4ad5-bf09-bd2aecbce735,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,11.80,47.43, Value ,VESSEL,169.88,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
54.59518,-12.342373,FID: 10,,75.00,6f402870-82d4-4e90-ab93-1b22750defa3,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,10.69,31.23, Value ,VESSEL,162.03,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
52.751735,-10.058168,FID: 11,,100.00,a4e2aeb9-13fc-4154-adf3-e715324eae13,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,26.26,186.73, Value ,VESSEL,341.93,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
52.868244,-9.645676,FID: 12,,100.00,c212177f-891b-4d7d-9059-415327fc9e55,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,7.20,27.40, Value ,VESSEL,155.29,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
54.20385,-9.984453,FID: 13,,50.00,34947400-5b90-4d03-aa72-191f32432689,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,16.38,76.80, Value ,VESSEL,159.06,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
52.643814,-9.403715,FID: 14,,100.00,a92a4a52-3940-443f-a29d-13dc520f8c44,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,18.16,47.51, Value ,VESSEL,199.30,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
54.121336,-8.87129,FID: 15,,100.00,d67aa40f-8937-4c21-8486-c52183d83720,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,26.91,130.03, Value ,VESSEL,168.74,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
51.766401,-10.01484,FID: 17,,100.00,02b0d9ea-4bfc-4882-b769-f1c909619e80,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,13.56,70.72, Value ,VESSEL,333.61,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
54.376831,-10.312994,FID: 18,,100.00,b8fac486-e930-4fc6-a727-df063176abb8,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,10.69,31.98, Value ,VESSEL,185.73,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
52.250327,-10.512649,FID: 19,,100.00,06a6f44e-d6ce-4fc1-978d-13416576c78f,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,10.69,38.79, Value ,VESSEL,345.02,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
54.588319,-10.35379,FID: 20,,100.00,799945de-2587-407f-ae7f-ef998526b1aa,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,12.22,44.78, Value ,VESSEL,335.13,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
54.631849,-10.556384,FID: 21,,100.00,e8ad59ba-fb57-4597-b8d3-307325b9fc62,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,10.58,58.02, Value ,VESSEL,346.12,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
52.556266,-10.681378,FID: 22,,100.00,e85f09f9-2bf2-4f27-be7c-39c6f0f89693,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,18.74,90.19, Value ,VESSEL,344.98,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
51.880788,-10.780729,FID: 23,,100.00,376551bc-60e5-44d4-98d3-52d439960650,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,14.68,50.88, Value ,VESSEL,164.82,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
52.279615,-10.938462,FID: 25,,100.00,9439824c-dd16-4575-a581-6245b90b31d3,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,13.66,50.12, Value ,VESSEL,122.27,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
54.850031,-11.858427,FID: 26,,100.00,7e53f1b9-d5ce-4a2f-b92e-bcea84646182,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,13.27,68.87, Value ,VESSEL,335.73,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
52.462957,-11.581202,FID: 27,,100.00,0585f734-13ce-4375-a228-137275711995,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,9.34,50.83, Value ,VESSEL,125.45,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
52.224743,-11.72171,FID: 28,,100.00,a7e9b635-b625-42f0-ac58-d4491b7ab815,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,14.98,49.14, Value ,VESSEL,262.88,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
55.255533,-12.596655,FID: 29,,75.00,ef712136-0ad2-42ba-a381-d6386e4b1af2,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,6.00,18.98, Value ,VESSEL,172.59,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
52.804728,-12.156307,FID: 30,,100.00,df0f249f-9b82-43a2-9f5c-e358f6513f2b,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,17.36,44.50, Value ,VESSEL,142.52,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
52.833873,-13.137335,FID: 31,,100.00,f9a35c98-3d98-43e0-b77b-86fa87f51898,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,13.83,46.51, Value ,VESSEL,149.44,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
55.450984,-11.829397,FID: 33,,100.00,66636d5b-c611-4938-8bf7-1e02ed7e65c6,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,19.42,66.28, Value ,VESSEL,332.01,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
55.338142,-11.595609,FID: 34,,50.00,5a9e6e38-37bd-4ee4-9f87-78313690bc20,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,13.89,29.96, Value ,VESSEL,105.09,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
51.485278,-12.175734,FID: 35,,100.00,d53d72db-8a54-4784-97be-c7bd16bcbe60,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,7.36,27.54, Value ,VESSEL,184.63,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
51.397514,-11.719681,FID: 36,,100.00,019b8022-dae5-42c2-b0de-597b10f7d298,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,9.08,34.43, Value ,VESSEL,219.59,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
51.803779,-11.593104,FID: 37,,100.00,9036386f-112d-4c1b-b856-97d8eeede189,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,10.45,33.72, Value ,VESSEL,226.96,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
51.360727,-11.516827,FID: 38,,100.00,bef3fdab-42b3-4205-86e9-cb484a4d18e2,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,12.94,43.10, Value ,VESSEL,349.59,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
51.408206,-10.743807,FID: 39,,100.00,8682ac41-8fec-404d-bc61-3c68b3ea483d,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,13.04,81.88, Value ,VESSEL,351.30,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
54.68018,-11.880645,FID: 0,,100.00,778a4753-ca0f-4022-9da2-d8d330e23879,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,13.21,97.12, Value ,VESSEL,168.69,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
54.558065,-12.56517,FID: 8,,100.00,02097b6c-2006-4e64-ad35-ca4223bda54a,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,15.29,61.21, Value ,VESSEL,009.64,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
54.03273,-8.773126,FID: 16,,100.00,75146514-75d1-4fc3-976d-662e61f30016,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,13.07,38.50, Value ,VESSEL,109.96,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
54.51291,-11.10712,FID: 24,,100.00,fec445e2-eafc-4fd4-929b-dd1986760d7b,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,14.73,95.90, Value ,VESSEL,161.71,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
55.554708,-12.186198,FID: 32,,50.00,a3c5adcc-45e4-4c17-a393-1307331b1dcb,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,4.37,16.19, Value ,VESSEL,013.35,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
51.33655,-10.621409,FID: 40,,100.00,cd4a9448-c1ce-419d-ae8a-c3b0df89f9be,2019-12-17T14:59:19.527000Z,2019-12-17T15:00:33.630000Z,HH,17.23,136.39, Value ,VESSEL,345.28,RS2_20191217_145919_0074_DVWF_HH_SCS_780369_0876_31782334
