X,Y,Name,description,Probability,DetectionId,ProductStartTime,ProductStopTime,Polarization,Beam,Length,Property,Type,Heading,ProductId
48.851202,-12.841987,FID: 1,,50.00,c15b9a26-07bd-48f2-91c3-8ae739b04f50,2019-11-26T15:11:56.068000Z,2019-11-26T15:13:10.169000Z,HH,1.50,8.50, Value ,VESSEL,249.78,RS2_20191126_151156_0074_DVWF_HH_SCS_774921_0579_31462938
48.632654,-12.158264,FID: 2,,50.00,fc4ee0c6-2beb-4ead-bef4-ebb07d757cee,2019-11-26T15:11:56.068000Z,2019-11-26T15:13:10.169000Z,HH,1.93,13.52, Value ,VESSEL,334.60,RS2_20191126_151156_0074_DVWF_HH_SCS_774921_0579_31462938
50.125242,-13.089923,FID: 3,,50.00,6b572cc4-7738-413b-ab1b-f243268547a4,2019-11-26T15:11:56.068000Z,2019-11-26T15:13:10.169000Z,HH,2.97,22.03, Value ,VESSEL,336.41,RS2_20191126_151156_0074_DVWF_HH_SCS_774921_0579_31462938
51.825895,-12.732037,FID: 4,,50.00,fa8de0f5-018c-4957-859b-a30d2755b218,2019-11-26T15:11:56.068000Z,2019-11-26T15:13:10.169000Z,HH,2.40,33.04, Value ,VESSEL,175.65,RS2_20191126_151156_0074_DVWF_HH_SCS_774921_0579_31462938
50.996451,-9.344255,FID: 5,,100.00,9c4e6e86-73db-4a49-b919-710eff3b5edf,2019-11-26T15:11:56.068000Z,2019-11-26T15:13:10.169000Z,HH,9.48,52.46, Value ,VESSEL,355.08,RS2_20191126_151156_0074_DVWF_HH_SCS_774921_0579_31462938
50.994607,-9.446251,FID: 6,,50.00,f73edcc0-404a-4909-a2d1-12f6e01ddaae,2019-11-26T15:11:56.068000Z,2019-11-26T15:13:10.169000Z,HH,2.81,17.07, Value ,VESSEL,352.63,RS2_20191126_151156_0074_DVWF_HH_SCS_774921_0579_31462938
50.324536,-9.983913,FID: 7,,50.00,e35a7e08-abf0-493f-8329-62b0bf56a37c,2019-11-26T15:11:56.068000Z,2019-11-26T15:13:10.169000Z,HH,3.57,32.13, Value ,VESSEL,356.49,RS2_20191126_151156_0074_DVWF_HH_SCS_774921_0579_31462938
48.408845,-10.988742,FID: 9,,100.00,c6f0e4d0-83a3-4948-b413-56eb4c2a7a14,2019-11-26T15:11:56.068000Z,2019-11-26T15:13:10.169000Z,HH,21.07,170.49, Value ,VESSEL,223.14,RS2_20191126_151156_0074_DVWF_HH_SCS_774921_0579_31462938
51.720733,-10.164954,FID: 10,,100.00,b70968e6-260c-4bcb-a89f-9fa11f76ac41,2019-11-26T15:11:56.068000Z,2019-11-26T15:13:10.169000Z,HH,9.39,48.61, Value ,VESSEL,351.94,RS2_20191126_151156_0074_DVWF_HH_SCS_774921_0579_31462938
50.340587,-10.650816,FID: 11,,100.00,cd6f4d92-f702-4669-a5c0-ba58bf540068,2019-11-26T15:11:56.068000Z,2019-11-26T15:13:10.169000Z,HH,8.98,36.03, Value ,VESSEL,346.34,RS2_20191126_151156_0074_DVWF_HH_SCS_774921_0579_31462938
50.626787,-10.9739,FID: 12,,100.00,3237465f-e222-4e7a-992a-e95f1fba8b15,2019-11-26T15:11:56.068000Z,2019-11-26T15:13:10.169000Z,HH,5.24,48.95, Value ,VESSEL,013.27,RS2_20191126_151156_0074_DVWF_HH_SCS_774921_0579_31462938
51.827107,-10.682325,FID: 13,,100.00,3616c835-7f45-47ab-b364-3fa3237cad43,2019-11-26T15:11:56.068000Z,2019-11-26T15:13:10.169000Z,HH,5.97,43.82, Value ,VESSEL,352.18,RS2_20191126_151156_0074_DVWF_HH_SCS_774921_0579_31462938
