X,Y,Name,description,Probability,DetectionId,ProductStartTime,ProductStopTime,Polarization,Beam,Length,Property,Type,Heading,ProductId
56.584002,-10.342469,FID: 1,,50.00,e32fec90-d73e-4dec-8be4-d962bfd57507,2019-10-11T01:44:40.619000Z,2019-10-11T01:45:54.738000Z,HH,7.38,21.70, Value ,VESSEL,002.13,RS2_20191011_014440_0074_DVWF_HH_SCS_763423_9997_30848315
56.58427,-10.344737,FID: 2,,50.00,e9fb62d2-cdf9-49d0-97d1-91e8626657cd,2019-10-11T01:44:40.619000Z,2019-10-11T01:45:54.738000Z,HH,14.77,29.85, Value ,VESSEL,009.29,RS2_20191011_014440_0074_DVWF_HH_SCS_763423_9997_30848315
55.725641,-11.941959,FID: 3,,50.00,4385fe1a-73a2-4222-a060-6359863c0f2d,2019-10-11T01:44:40.619000Z,2019-10-11T01:45:54.738000Z,HH,10.91,48.80, Value ,VESSEL,043.43,RS2_20191011_014440_0074_DVWF_HH_SCS_763423_9997_30848315
54.917805,-10.904567,FID: 4,,50.00,7ff21301-2cc2-4643-a87c-1000962513ac,2019-10-11T01:44:40.619000Z,2019-10-11T01:45:54.738000Z,HH,9.14,26.12, Value ,VESSEL,237.09,RS2_20191011_014440_0074_DVWF_HH_SCS_763423_9997_30848315
54.428919,-9.153487,FID: 5,,100.00,16f2d692-07d9-4ba2-9fd0-25c1aa5f9ec9,2019-10-11T01:44:40.619000Z,2019-10-11T01:45:54.738000Z,HH,42.39,115.50, Value ,VESSEL,245.43,RS2_20191011_014440_0074_DVWF_HH_SCS_763423_9997_30848315
54.704635,-9.647933,FID: 6,,100.00,c1f908b9-4f02-4b9e-8e3b-7345938456e5,2019-10-11T01:44:40.619000Z,2019-10-11T01:45:54.738000Z,HH,7.70,39.21, Value ,VESSEL,013.65,RS2_20191011_014440_0074_DVWF_HH_SCS_763423_9997_30848315
53.901236,-10.208502,FID: 7,,100.00,b1dc9e2b-c7cb-479e-bfa9-0271dffc1ea6,2019-10-11T01:44:40.619000Z,2019-10-11T01:45:54.738000Z,HH,34.69,196.21, Value ,VESSEL,049.88,RS2_20191011_014440_0074_DVWF_HH_SCS_763423_9997_30848315
56.758042,-11.445118,FID: 9,,75.00,3e88a611-0536-4477-a4f2-49d9f990c0de,2019-10-11T01:44:40.619000Z,2019-10-11T01:45:54.738000Z,HH,10.04,27.82, Value ,VESSEL,258.87,RS2_20191011_014440_0074_DVWF_HH_SCS_763423_9997_30848315
54.185938,-10.882089,FID: 10,,100.00,6998f675-6cb4-4ea6-abca-24f50e8d7108,2019-10-11T01:44:40.619000Z,2019-10-11T01:45:54.738000Z,HH,10.09,34.36, Value ,VESSEL,182.61,RS2_20191011_014440_0074_DVWF_HH_SCS_763423_9997_30848315
54.504902,-10.968386,FID: 11,,50.00,ea04bc19-08e4-4c0e-b498-7194038208ac,2019-10-11T01:44:40.619000Z,2019-10-11T01:45:54.738000Z,HH,7.70,28.03, Value ,VESSEL,024.65,RS2_20191011_014440_0074_DVWF_HH_SCS_763423_9997_30848315
55.101806,-11.399858,FID: 12,,100.00,75eac4a1-140f-4187-beb2-285d936df6e4,2019-10-11T01:44:40.619000Z,2019-10-11T01:45:54.738000Z,HH,11.66,54.27, Value ,VESSEL,018.17,RS2_20191011_014440_0074_DVWF_HH_SCS_763423_9997_30848315
55.086888,-11.753558,FID: 13,,50.00,ee85b959-9e78-4ae6-86cc-4cdf2c180cc4,2019-10-11T01:44:40.619000Z,2019-10-11T01:45:54.738000Z,HH,7.38,27.69, Value ,VESSEL,009.37,RS2_20191011_014440_0074_DVWF_HH_SCS_763423_9997_30848315
56.042231,-12.008281,FID: 14,,100.00,4d16325b-f280-47f1-b1eb-4355d2cf090a,2019-10-11T01:44:40.619000Z,2019-10-11T01:45:54.738000Z,HH,12.71,54.43, Value ,VESSEL,199.11,RS2_20191011_014440_0074_DVWF_HH_SCS_763423_9997_30848315
54.371792,-11.993575,FID: 15,,50.00,d04b1bd5-df06-4b52-a356-5e30f89d4841,2019-10-11T01:44:40.619000Z,2019-10-11T01:45:54.738000Z,HH,5.39,31.02, Value ,VESSEL,021.74,RS2_20191011_014440_0074_DVWF_HH_SCS_763423_9997_30848315
56.583509,-10.3409,FID: 0,,50.00,85413fb6-7c53-4f18-9aeb-09043f8f5ad1,2019-10-11T01:44:40.619000Z,2019-10-11T01:45:54.738000Z,HH,5.28,25.11, Value ,VESSEL,311.44,RS2_20191011_014440_0074_DVWF_HH_SCS_763423_9997_30848315
56.655342,-11.220637,FID: 8,,100.00,2ea92da0-5597-4f5b-8c1d-9470dd191386,2019-10-11T01:44:40.619000Z,2019-10-11T01:45:54.738000Z,HH,16.61,67.87, Value ,VESSEL,224.23,RS2_20191011_014440_0074_DVWF_HH_SCS_763423_9997_30848315
