X,Y,Name,description,Probability,DetectionId,ProductStartTime,ProductStopTime,Polarization,Beam,Length,Property,Type,Heading,ProductId
53.985927,-10.514733,FID: 1,,50.00,68bbd799-f8c9-4f7d-b0c1-bded33efe440,2019-10-21T01:53:01.132000Z,2019-10-21T01:54:15.244000Z,HH,4.67,29.19, Value ,VESSEL,026.87,RS2_20191021_015301_0074_DVWF_HH_SCS_765981_0126_30985398
51.352759,-12.903014,FID: 2,,50.00,f7e8e898-4177-44d1-84aa-b96795cae5cf,2019-10-21T01:53:01.132000Z,2019-10-21T01:54:15.244000Z,HH,3.21,15.66, Value ,VESSEL,254.13,RS2_20191021_015301_0074_DVWF_HH_SCS_765981_0126_30985398
55.000672,-9.54318,FID: 3,,50.00,9294d5f0-5aac-40d1-9dcd-fbc08780f881,2019-10-21T01:53:01.132000Z,2019-10-21T01:54:15.244000Z,HH,13.61,33.29, Value ,VESSEL,021.00,RS2_20191021_015301_0074_DVWF_HH_SCS_765981_0126_30985398
55.285955,-9.643254,FID: 4,,50.00,fac9c3b3-270d-435f-a526-af8e01e0e64e,2019-10-21T01:53:01.132000Z,2019-10-21T01:54:15.244000Z,HH,15.05,31.12, Value ,VESSEL,169.63,RS2_20191021_015301_0074_DVWF_HH_SCS_765981_0126_30985398
54.770728,-9.834408,FID: 5,,75.00,1a3843b5-1dd6-464f-889c-90d966bc30f5,2019-10-21T01:53:01.132000Z,2019-10-21T01:54:15.244000Z,HH,13.70,42.92, Value ,VESSEL,102.09,RS2_20191021_015301_0074_DVWF_HH_SCS_765981_0126_30985398
53.835887,-10.815556,FID: 6,,75.00,961ca006-688a-4a4e-8e87-38af503c6306,2019-10-21T01:53:01.132000Z,2019-10-21T01:54:15.244000Z,HH,9.33,44.21, Value ,VESSEL,036.03,RS2_20191021_015301_0074_DVWF_HH_SCS_765981_0126_30985398
54.056883,-11.687698,FID: 7,,100.00,c05e9ae9-9513-43f4-a9f6-9668f17948d5,2019-10-21T01:53:01.132000Z,2019-10-21T01:54:15.244000Z,HH,20.33,122.94, Value ,VESSEL,015.61,RS2_20191021_015301_0074_DVWF_HH_SCS_765981_0126_30985398
54.723113,-11.65838,FID: 0,,50.00,098ac8c7-28e9-4189-b260-67e1ba62b681,2019-10-21T01:53:01.132000Z,2019-10-21T01:54:15.244000Z,HH,10.70,33.52, Value ,VESSEL,175.71,RS2_20191021_015301_0074_DVWF_HH_SCS_765981_0126_30985398
53.165068,-11.517343,FID: 8,,50.00,48522b30-0ebb-4563-b297-9044bbd010f6,2019-10-21T01:53:01.132000Z,2019-10-21T01:54:15.244000Z,HH,9.03,35.26, Value ,VESSEL,011.85,RS2_20191021_015301_0074_DVWF_HH_SCS_765981_0126_30985398
54.74814,-11.935783,FID: 9,,50.00,6bdb177a-2126-4ab9-8a00-5db0a4887887,2019-10-21T01:53:01.132000Z,2019-10-21T01:54:15.244000Z,HH,12.15,42.97, Value ,VESSEL,351.78,RS2_20191021_015301_0074_DVWF_HH_SCS_765981_0126_30985398
53.781666,-11.778966,FID: 10,,50.00,1e39454e-ed09-463c-9b91-4a27208280a2,2019-10-21T01:53:01.132000Z,2019-10-21T01:54:15.244000Z,HH,7.99,22.98, Value ,VESSEL,022.05,RS2_20191021_015301_0074_DVWF_HH_SCS_765981_0126_30985398
52.812769,-11.858557,FID: 11,,100.00,57f5aba7-3dd0-41bf-87b7-cbf1beae0ab2,2019-10-21T01:53:01.132000Z,2019-10-21T01:54:15.244000Z,HH,16.42,67.61, Value ,VESSEL,181.25,RS2_20191021_015301_0074_DVWF_HH_SCS_765981_0126_30985398
51.937386,-13.228501,FID: 12,,100.00,c9198d10-5d57-4ad7-a667-ab6abebd99d1,2019-10-21T01:53:01.132000Z,2019-10-21T01:54:15.244000Z,HH,24.88,107.13, Value ,VESSEL,019.52,RS2_20191021_015301_0074_DVWF_HH_SCS_765981_0126_30985398
