X,Y,Name,description,Probability,DetectionId,ProductStartTime,ProductStopTime,Polarization,Beam,Length,Property,Type,Heading,ProductId
49.803716,-12.625,FID: 0,,100.00,7e04eeb9-4b9c-4742-9f4a-0b49431cc0b3,2019-12-25T01:57:03.719000Z,2019-12-25T01:58:17.839000Z,HH,8.43,98.76, Value ,VESSEL,345.88,RS2_20191225_015703_0074_DVWF_HH_SCS_782308_0979_31959696
54.110553,-9.503913,FID: 1,,75.00,1847b3db-e03a-4383-a130-58ec0d98edc6,2019-12-25T01:57:03.719000Z,2019-12-25T01:58:17.839000Z,HH,6.51,67.04, Value ,VESSEL,146.67,RS2_20191225_015703_0074_DVWF_HH_SCS_782308_0979_31959696
52.441935,-9.304341,FID: 2,,100.00,65112a02-8696-4bce-b363-c5f098ec1bc0,2019-12-25T01:57:03.719000Z,2019-12-25T01:58:17.839000Z,HH,12.96,211.89, Value ,VESSEL,005.79,RS2_20191225_015703_0074_DVWF_HH_SCS_782308_0979_31959696
54.51405,-9.923528,FID: 3,,50.00,a4d0203a-84b8-4be3-8b2d-c697f2d13d62,2019-12-25T01:57:03.719000Z,2019-12-25T01:58:17.839000Z,HH,5.69,51.46, Value ,VESSEL,245.53,RS2_20191225_015703_0074_DVWF_HH_SCS_782308_0979_31959696
53.831292,-10.02933,FID: 4,,75.00,330c390f-a724-4237-97bd-64062e17daa7,2019-12-25T01:57:03.719000Z,2019-12-25T01:58:17.839000Z,HH,6.48,48.21, Value ,VESSEL,350.26,RS2_20191225_015703_0074_DVWF_HH_SCS_782308_0979_31959696
51.966096,-9.773364,FID: 5,,75.00,1ac8f2be-894d-423d-bcd3-a2ca38d79930,2019-12-25T01:57:03.719000Z,2019-12-25T01:58:17.839000Z,HH,7.88,101.35, Value ,VESSEL,217.30,RS2_20191225_015703_0074_DVWF_HH_SCS_782308_0979_31959696
52.250269,-10.13039,FID: 6,,100.00,ca265b7e-f7ad-4871-81a3-da9f80bcfd5c,2019-12-25T01:57:03.719000Z,2019-12-25T01:58:17.839000Z,HH,11.44,102.63, Value ,VESSEL,011.80,RS2_20191225_015703_0074_DVWF_HH_SCS_782308_0979_31959696
50.483517,-10.034997,FID: 7,,100.00,66221707-444a-43d6-b342-9c967bd07f5b,2019-12-25T01:57:03.719000Z,2019-12-25T01:58:17.839000Z,HH,8.01,77.20, Value ,VESSEL,197.39,RS2_20191225_015703_0074_DVWF_HH_SCS_782308_0979_31959696
52.149683,-10.461408,FID: 8,,100.00,e51a6f4b-dd8a-4dcf-a3fa-4d45fd15c42c,2019-12-25T01:57:03.719000Z,2019-12-25T01:58:17.839000Z,HH,9.14,65.30, Value ,VESSEL,341.70,RS2_20191225_015703_0074_DVWF_HH_SCS_782308_0979_31959696
51.604723,-10.449881,FID: 9,,100.00,5223dec6-cbb1-4b2b-bf4d-adbf13cd5225,2019-12-25T01:57:03.719000Z,2019-12-25T01:58:17.839000Z,HH,22.43,196.50, Value ,VESSEL,245.91,RS2_20191225_015703_0074_DVWF_HH_SCS_782308_0979_31959696
51.646028,-10.573841,FID: 10,,100.00,b00860fe-1962-423b-90c4-04c4ab8e975f,2019-12-25T01:57:03.719000Z,2019-12-25T01:58:17.839000Z,HH,8.01,99.28, Value ,VESSEL,216.97,RS2_20191225_015703_0074_DVWF_HH_SCS_782308_0979_31959696
52.047549,-10.696486,FID: 11,,100.00,c94dae28-998e-4742-ac7c-fc01e3bb5a50,2019-12-25T01:57:03.719000Z,2019-12-25T01:58:17.839000Z,HH,7.84,164.10, Value ,VESSEL,193.64,RS2_20191225_015703_0074_DVWF_HH_SCS_782308_0979_31959696
51.363203,-10.865687,FID: 12,,100.00,9f8359c1-7c42-4505-b44b-d27c78c3889f,2019-12-25T01:57:03.719000Z,2019-12-25T01:58:17.839000Z,HH,12.66,200.21, Value ,VESSEL,013.34,RS2_20191225_015703_0074_DVWF_HH_SCS_782308_0979_31959696
53.754585,-11.570644,FID: 13,,100.00,79e88e46-6f6b-4e31-8c89-90c8332b6b5d,2019-12-25T01:57:03.719000Z,2019-12-25T01:58:17.839000Z,HH,6.27,119.66, Value ,VESSEL,175.79,RS2_20191225_015703_0074_DVWF_HH_SCS_782308_0979_31959696
53.708427,-11.590762,FID: 14,,100.00,0a0f391a-8bd1-443b-b178-1cb633bd2dde,2019-12-25T01:57:03.719000Z,2019-12-25T01:58:17.839000Z,HH,11.19,62.39, Value ,VESSEL,078.18,RS2_20191225_015703_0074_DVWF_HH_SCS_782308_0979_31959696
52.072573,-11.26521,FID: 15,,50.00,901a2917-4817-4a6d-b2cf-0c82c3c8d073,2019-12-25T01:57:03.719000Z,2019-12-25T01:58:17.839000Z,HH,8.01,57.04, Value ,VESSEL,008.94,RS2_20191225_015703_0074_DVWF_HH_SCS_782308_0979_31959696
53.279687,-11.850139,FID: 16,,100.00,2e7cbe36-570c-4445-a177-93a813a9c25d,2019-12-25T01:57:03.719000Z,2019-12-25T01:58:17.839000Z,HH,6.32,40.67, Value ,VESSEL,088.03,RS2_20191225_015703_0074_DVWF_HH_SCS_782308_0979_31959696
51.752255,-11.92915,FID: 17,,100.00,8bc7b6db-6309-48b4-8d3a-64d174dbeea6,2019-12-25T01:57:03.719000Z,2019-12-25T01:58:17.839000Z,HH,9.91,99.78, Value ,VESSEL,189.29,RS2_20191225_015703_0074_DVWF_HH_SCS_782308_0979_31959696
