X,Y,Name,description,Probability,DetectionId,ProductStartTime,ProductStopTime,Polarization,Beam,Length,Property,Type,Heading,ProductId
55.187513,-10.797116,FID: 1,,50.00,73144745-8f28-4cfa-9a9f-1a7fad3cfd14,2019-10-13T14:55:21.299000Z,2019-10-13T14:56:35.407000Z,HH,8.95,47.12, Value ,VESSEL,007.85,RS2_20191013_145521_0074_DVWF_HH_SCS_764052_0028_30848318
55.230942,-9.128312,FID: 2,,100.00,6db6baa4-4106-4d9b-bb0c-77eefcb4e1bc,2019-10-13T14:55:21.299000Z,2019-10-13T14:56:35.407000Z,HH,6.52,40.12, Value ,VESSEL,015.53,RS2_20191013_145521_0074_DVWF_HH_SCS_764052_0028_30848318
51.969472,-10.207413,FID: 3,,100.00,0ab40e40-3b9d-4973-92a8-d769fc0ed151,2019-10-13T14:55:21.299000Z,2019-10-13T14:56:35.407000Z,HH,28.33,163.69, Value ,VESSEL,042.28,RS2_20191013_145521_0074_DVWF_HH_SCS_764052_0028_30848318
54.928872,-10.473748,FID: 4,,100.00,2da10a74-9953-459d-9c89-27135311615e,2019-10-13T14:55:21.299000Z,2019-10-13T14:56:35.407000Z,HH,10.87,48.46, Value ,VESSEL,338.55,RS2_20191013_145521_0074_DVWF_HH_SCS_764052_0028_30848318
55.002612,-10.515335,FID: 5,,100.00,acf2aa93-5ece-4dbc-8f63-4aad763240ca,2019-10-13T14:55:21.299000Z,2019-10-13T14:56:35.407000Z,HH,13.24,74.60, Value ,VESSEL,351.27,RS2_20191013_145521_0074_DVWF_HH_SCS_764052_0028_30848318
54.453238,-10.768321,FID: 6,,100.00,943e82bb-f92a-42ba-8132-90da62a2b82f,2019-10-13T14:55:21.299000Z,2019-10-13T14:56:35.407000Z,HH,8.69,45.71, Value ,VESSEL,002.93,RS2_20191013_145521_0074_DVWF_HH_SCS_764052_0028_30848318
54.478577,-10.875111,FID: 7,,100.00,10cc61aa-b75b-491e-9674-78f4a560dac6,2019-10-13T14:55:21.299000Z,2019-10-13T14:56:35.407000Z,HH,6.52,29.78, Value ,VESSEL,183.31,RS2_20191013_145521_0074_DVWF_HH_SCS_764052_0028_30848318
55.364224,-11.19165,FID: 9,,50.00,93c7fcdb-bd1d-461d-9df8-0da5c89dee1e,2019-10-13T14:55:21.299000Z,2019-10-13T14:56:35.407000Z,HH,4.35,50.49, Value ,VESSEL,003.66,RS2_20191013_145521_0074_DVWF_HH_SCS_764052_0028_30848318
53.213275,-11.839808,FID: 10,,100.00,5bd0c018-fa29-4bd5-9c3a-e44976c2ef94,2019-10-13T14:55:21.299000Z,2019-10-13T14:56:35.407000Z,HH,8.69,45.64, Value ,VESSEL,329.94,RS2_20191013_145521_0074_DVWF_HH_SCS_764052_0028_30848318
56.130328,-11.12684,FID: 11,,100.00,17b97516-f3e0-4ce9-ad03-8c8a4be2ba8a,2019-10-13T14:55:21.299000Z,2019-10-13T14:56:35.407000Z,HH,18.78,49.60, Value ,VESSEL,137.15,RS2_20191013_145521_0074_DVWF_HH_SCS_764052_0028_30848318
55.032078,-11.481752,FID: 12,,100.00,8d9841fa-5d11-4440-838e-a58cf98815a4,2019-10-13T14:55:21.299000Z,2019-10-13T14:56:35.407000Z,HH,21.73,137.10, Value ,VESSEL,337.05,RS2_20191013_145521_0074_DVWF_HH_SCS_764052_0028_30848318
54.287064,-11.775545,FID: 13,,100.00,437beed6-4d9a-434d-a0ea-c4d63a1d922a,2019-10-13T14:55:21.299000Z,2019-10-13T14:56:35.407000Z,HH,8.95,45.74, Value ,VESSEL,002.87,RS2_20191013_145521_0074_DVWF_HH_SCS_764052_0028_30848318
55.428507,-11.580187,FID: 14,,100.00,d885434b-3ce4-4b9b-b08c-ece2d8ba5962,2019-10-13T14:55:21.299000Z,2019-10-13T14:56:35.407000Z,HH,12.36,36.89, Value ,VESSEL,283.98,RS2_20191013_145521_0074_DVWF_HH_SCS_764052_0028_30848318
55.239195,-11.672464,FID: 15,,100.00,1d207fa1-4307-4a67-a44f-64090bd0c612,2019-10-13T14:55:21.299000Z,2019-10-13T14:56:35.407000Z,HH,13.24,89.67, Value ,VESSEL,343.33,RS2_20191013_145521_0074_DVWF_HH_SCS_764052_0028_30848318
54.136646,-10.173372,FID: 0,,50.00,f81dc16a-2f08-4462-b60e-7915c414ba6d,2019-10-13T14:55:21.299000Z,2019-10-13T14:56:35.407000Z,HH,4.37,28.22, Value ,VESSEL,278.91,RS2_20191013_145521_0074_DVWF_HH_SCS_764052_0028_30848318
53.8795,-11.547188,FID: 8,,100.00,189797bb-42f2-49b9-97ba-b7cb24c694a4,2019-10-13T14:55:21.299000Z,2019-10-13T14:56:35.407000Z,HH,6.52,48.16, Value ,VESSEL,346.42,RS2_20191013_145521_0074_DVWF_HH_SCS_764052_0028_30848318
55.599113,-11.640993,FID: 16,,100.00,22d2ae0c-0b83-4bb7-a813-b2c76ab3a584,2019-10-13T14:55:21.299000Z,2019-10-13T14:56:35.407000Z,HH,8.69,45.86, Value ,VESSEL,346.03,RS2_20191013_145521_0074_DVWF_HH_SCS_764052_0028_30848318
55.348855,-11.945113,FID: 17,,100.00,4d13a707-bed3-4dc2-b59e-cff921d68ae0,2019-10-13T14:55:21.299000Z,2019-10-13T14:56:35.407000Z,HH,13.24,61.49, Value ,VESSEL,339.98,RS2_20191013_145521_0074_DVWF_HH_SCS_764052_0028_30848318
55.424279,-12.257454,FID: 18,,100.00,9b97d44c-40ac-4836-92bc-0ced59a1b4b4,2019-10-13T14:55:21.299000Z,2019-10-13T14:56:35.407000Z,HH,10.92,41.87, Value ,VESSEL,318.17,RS2_20191013_145521_0074_DVWF_HH_SCS_764052_0028_30848318
