X,Y,Name,description,Probability,DetectionId,ProductStartTime,ProductStopTime,Polarization,Beam,Length,Property,Type,Heading,ProductId
-148.385947,-10.176017,FID: 1,,50.00,a40733c2-5382-4cd0-96e3-db4ee19db3d6,2019-08-10T04:17:41.648000Z,2019-08-10T04:18:55.733000Z,HH,10.59,65.61, Value ,VESSEL,151.25,RS2_20190810_041741_0074_DVWF_HH_SCS_748061_9282_29818027
-145.702282,-9.715281,FID: 2,,100.00,77470000-ede9-4b28-bf05-98fa7d28250b,2019-08-10T04:17:41.648000Z,2019-08-10T04:18:55.733000Z,HH,21.57,142.58, Value ,VESSEL,188.18,RS2_20190810_041741_0074_DVWF_HH_SCS_748061_9282_29818027
-145.247086,-9.844128,FID: 3,,100.00,97369501-4a68-4165-980e-0836821d80da,2019-08-10T04:17:41.648000Z,2019-08-10T04:18:55.733000Z,HH,29.41,208.98, Value ,VESSEL,185.45,RS2_20190810_041741_0074_DVWF_HH_SCS_748061_9282_29818027
-145.074865,-9.848066,FID: 4,,100.00,1c270d93-82c5-485e-8c0b-9a164f3a46ff,2019-08-10T04:17:41.648000Z,2019-08-10T04:18:55.733000Z,HH,23.53,183.34, Value ,VESSEL,184.96,RS2_20190810_041741_0074_DVWF_HH_SCS_748061_9282_29818027
-144.637423,-9.748177,FID: 5,,75.00,5a515e06-88e1-434c-8f96-c8396e1d99e6,2019-08-10T04:17:41.648000Z,2019-08-10T04:18:55.733000Z,HH,19.61,105.32, Value ,VESSEL,183.50,RS2_20190810_041741_0074_DVWF_HH_SCS_748061_9282_29818027
-146.629383,-10.252633,FID: 6,,75.00,00960bb3-1463-4754-9445-1a2aad8e78a2,2019-08-10T04:17:41.648000Z,2019-08-10T04:18:55.733000Z,HH,19.61,102.46, Value ,VESSEL,155.48,RS2_20190810_041741_0074_DVWF_HH_SCS_748061_9282_29818027
-144.798588,-9.900091,FID: 7,,100.00,305b4f31-56f4-40d6-b92a-e4b4819c7aec,2019-08-10T04:17:41.648000Z,2019-08-10T04:18:55.733000Z,HH,23.01,94.75, Value ,VESSEL,161.44,RS2_20190810_041741_0074_DVWF_HH_SCS_748061_9282_29818027
-146.19415,-9.207065,FID: 0,,75.00,29825104-10b1-414e-944e-791893471dbd,2019-08-10T04:17:41.648000Z,2019-08-10T04:18:55.733000Z,HH,19.29,116.25, Value ,VESSEL,007.26,RS2_20190810_041741_0074_DVWF_HH_SCS_748061_9282_29818027
-146.717866,-10.390564,FID: 8,,100.00,40a69832-1801-438e-a98c-2428b93ee7a7,2019-08-10T04:17:41.648000Z,2019-08-10T04:18:55.733000Z,HH,26.73,116.66, Value ,VESSEL,150.92,RS2_20190810_041741_0074_DVWF_HH_SCS_748061_9282_29818027
-145.348967,-10.249092,FID: 9,,100.00,76c13554-404f-49cc-aaf8-335ffd9bd41f,2019-08-10T04:17:41.648000Z,2019-08-10T04:18:55.733000Z,HH,17.65,115.83, Value ,VESSEL,189.18,RS2_20190810_041741_0074_DVWF_HH_SCS_748061_9282_29818027
-144.588607,-10.233492,FID: 10,,100.00,d47238a6-7e92-47a3-9a2d-1b145e773ab1,2019-08-10T04:17:41.648000Z,2019-08-10T04:18:55.733000Z,HH,11.91,72.46, Value ,VESSEL,333.61,RS2_20190810_041741_0074_DVWF_HH_SCS_748061_9282_29818027
-144.799011,-10.64401,FID: 11,,50.00,0c2fe7dc-0da9-4548-bb1c-6197f5f48089,2019-08-10T04:17:41.648000Z,2019-08-10T04:18:55.733000Z,HH,19.97,83.03, Value ,VESSEL,340.70,RS2_20190810_041741_0074_DVWF_HH_SCS_748061_9282_29818027
